1,0.187078,0.207597,0.219161,0.334051,0.228671,0.155641,0.35003,0.279773,0.159676,0.481837,0.19028,
0.187078,1,0.17016,0.205046,0.186064,0.151667,0.194072,0.191628,0.175054,0.105007,0.378385,0.170394,
0.207597,0.17016,1,0.159053,0.189445,0.128562,0.0635326,0.184342,0.188178,0.0490731,0.333621,0.118079,
0.219161,0.205046,0.159053,1,0.250006,0.138699,0.106321,0.233384,0.278787,0.147899,0.423137,0.289495,
0.334051,0.186064,0.189445,0.250006,1,0.318647,0.0951246,0.417455,0.316673,0.140976,0.475367,0.246297,
0.228671,0.151667,0.128562,0.138699,0.318647,1,-0.00781776,0.315143,0.288264,0.131206,0.415826,0.197336,
0.155641,0.194072,0.0635326,0.106321,0.0951246,-0.00781776,1,0.161625,0.176744,0.142102,0.272942,0.14824,
0.35003,0.191628,0.184342,0.233384,0.417455,0.315143,0.161625,1,0.311133,0.135429,0.491713,0.259366,
0.279773,0.175054,0.188178,0.278787,0.316673,0.288264,0.176744,0.311133,1,0.1454,0.533989,0.300083,
0.159676,0.105007,0.0490731,0.147899,0.140976,0.131206,0.142102,0.135429,0.1454,1,0.236749,0.131804,
0.481837,0.378385,0.333621,0.423137,0.475367,0.415826,0.272942,0.491713,0.533989,0.236749,1,0.361563,
0.19028,0.170394,0.118079,0.289495,0.246297,0.197336,0.14824,0.259366,0.300083,0.131804,0.361563,1,
