5.01493e+06,1.21064e+06,771871,-2.70245e+06,-2.38692e+06,-1.51289e+06,-461124,-1.13386e+06,-832176,-129037,3.4278e+07,339327,
3.5229e+06,1.82819e+06,678015,-2.53158e+06,-2.07694e+06,-1.41418e+06,-506328,-1.01085e+06,-814660,-138413,3.68697e+07,414688,
1.1181e+07,3.80475e+06,2.16727e+06,-6.45946e+06,-5.53207e+06,-3.54727e+06,-1.06621e+06,-2.71574e+06,-2.19088e+06,-334674,8.85052e+07,788264,
-1.99773e+06,-753212,-382545,1.75433e+06,951305,660536,183914,444276,308626,53826.5,-1.35105e+07,143654,
-3.53034e+06,-1.19616e+06,-648518,1.78846e+06,2.41756e+06,1.16575e+06,444362,960242,881798,145009,-3.79554e+07,-196331,
-2.36316e+06,-839031,-435815,1.2717e+06,1.09244e+06,1.88857e+06,381112,706404,610857,105218,-2.75118e+07,-137575,
-748432,-339014,-132318,370980,381746,381880,747172,179320,150394,29460.8,-7.34538e+06,71752.2,
-2.76186e+06,-935199,-498529,1.35792e+06,1.23992e+06,979643,307749,1.50208e+06,756790,125924,-3.27341e+07,-85460.8,
-2.89987e+06,-1.00834e+06,-543922,1.3451e+06,1.42576e+06,1.04719e+06,288422,904058,1.45936e+06,146802,-3.80336e+07,-50013.2,
1.69519e+06,550851,323970,-1.1307e+06,-914217,-721485,-320680,-651847,-651443,-8157.77,4.22241e+07,587340,
-1.34983e+06,-433961,-252993,882286,712809,553804,232953,511404,511960,129204,-3.33673e+07,-3.22967e+06,
-1.74764e+06,-597643,-328570,1.00311e+06,904168,697680,255579,613959,599316,116266,-3.80435e+07,-3.24733e+06,
