AIG,BABA,FANG,FB,GS,IBM,Macy,Morgan_Stanley,MSFT,Sears,SP_500,TWTR,
-0.000734349,-0.00655126,-0.0138475,-0.00178685,-0.00290169,-0.0019828,0.00126562,-0.00136444,-0.000420256,0.000614817,-0.00100153,-0.00394478,
0.00220143,-0.00640545,0.00150631,-0.00243013,-0.00253928,-0.00153777,-0.000316256,-0.00136631,-0.00147229,0.00368099,-0.000942952,-0.00105457,
-0.00312013,0.00217114,0.00525428,0.00485438,0.00148203,0.000641026,0.00189603,0.00191231,0.00189255,0.00305717,0.00130997,0.00237123,
-0.000735565,0.0011309,0.00261682,-0.00344674,-0.00111132,-0.000705151,0.000946671,-0.00191231,-0.000840689,0,-0.000456308,-0.00131666,
0.000735565,0,-0.00617922,0.00344674,-5.29507e-05,0.00460653,-0.00284271,0.00109319,0.00105075,0.00304785,0.000282737,-0.00105457,
-0.000551623,0.00216399,0.00748506,-0.000637389,-0.000423706,-0.00614677,0.00410354,-0.00136668,-0.00252366,0,-0.000168641,-0.000263817,
0.00165396,-0.0032949,-0.000186445,0.00012751,0.000476657,-0.000513941,0.000472404,-0.000547196,0,0,-0.000148824,-0.00132013,
-0.00147005,0.00150759,-0.00955511,-0.0025533,-0.00021182,0.00186178,-0.000629921,-0.000547495,0.0023136,-0.000608828,-0.000178618,0.00105625,
-0.000735835,-0.00179051,-0.00471743,-0.00332907,-0.00164312,-0.00559577,0.000157518,-0.00301659,-0.00378868,0.00030446,-0.000699896,-0.00317209,
0,-0.00198272,-0.00379004,-0.000256542,0.000530335,-0.00148459,-0.000157518,0.001098,-0.000632845,-0.00457667,-0.000556295,0.0015873,
0.000367985,-0.000378108,0.0020863,-0.000513281,-0.000636436,0.000968461,-0.000945627,0.0013708,0.000843704,0.000305764,0.000556295,0.000792707,
0.000735565,0.000378108,-0.00722574,0.00128271,0.000848491,-0.000387272,-0.000630915,-0.00219419,0.000842993,-0.00122362,0.000372346,0.000528123,
-0.00091954,-0.000567215,0.00399962,-0.00025641,0.0011655,-0.000904218,0.00110384,0.00411016,0.000631778,0.00183486,0.000397016,0.00131909,
-0.000368053,-0.00170358,-0.00705773,-0.000641313,-0.00201399,0.00129149,-0.00110384,-0.00136818,-0.00168563,-0.00305998,-0.00127598,-0.00158311,
-0.00110497,-0.00113733,-0.00268354,-0.00089853,-0.000477593,-0.000387272,-0.000473447,-0.000821805,-0.000421852,-0.00399202,-0.000859843,-0.0010568,
0.000184247,0.000758366,-0.000575982,0.000128411,0.000530645,-0.000774994,-0.000157866,0.000547945,0.000843526,-0.00215617,0.000427529,0.000528541,
-0.000368528,-0.000758366,-0.00115296,-0.00218523,-5.30518e-05,0,-0.000789702,-0.000547945,-0.000632578,0.00981904,-0.00099951,-0.00556367,
